Timestamp,Heart rate,RR intervals
2023-04-29 23:06:13,84,"[856, 840]"
2023-04-29 23:06:14,83,[802]
2023-04-29 23:06:14,82,[756]
2023-04-29 23:06:16,81,"[752, 742]"
2023-04-29 23:06:17,82,[745]
2023-04-29 23:06:17,82,"[691, 725]"
2023-04-29 23:06:19,83,[728]
2023-04-29 23:06:20,83,[753]
2023-04-29 23:06:20,83,"[740, 739]"
2023-04-29 23:06:22,83,[751]
2023-04-29 23:06:23,83,"[760, 708]"
2023-04-29 23:06:24,83,[709]
2023-04-29 23:06:25,83,[715]
2023-04-29 23:06:26,84,"[721, 729]"
2023-04-29 23:06:27,84,[720]
2023-04-29 23:06:28,84,"[740, 741]"
2023-04-29 23:06:29,84,[701]
2023-04-29 23:06:30,84,[731]
2023-04-29 23:06:31,84,"[749, 748]"
2023-04-29 23:06:32,84,[743]
2023-04-29 23:06:33,84,[775]
2023-04-29 23:06:34,83,"[784, 724]"
2023-04-29 23:06:35,83,[729]
2023-04-29 23:06:36,83,"[709, 666]"
2023-04-29 23:06:37,85,"[673, 661]"
2023-04-29 23:06:38,86,[656]
2023-04-29 23:06:39,88,"[634, 645]"
2023-04-29 23:06:40,89,[658]
2023-04-29 23:06:41,90,[686]
2023-04-29 23:06:43,90,"[683, 731]"
2023-04-29 23:06:43,90,[763]
2023-04-29 23:06:45,88,"[723, 757]"
2023-04-29 23:06:45,87,[751]
2023-04-29 23:06:46,86,[721]
2023-04-29 23:06:47,86,"[722, 726]"
2023-04-29 23:06:48,86,[718]
2023-04-29 23:06:49,86,"[689, 713]"
2023-04-29 23:06:50,86,[725]
2023-04-29 23:06:51,86,"[669, 674]"
2023-04-29 23:06:52,87,[677]
2023-04-29 23:06:53,88,"[696, 721]"
2023-04-29 23:07:10,84,"[709, 727]"
2023-04-29 23:07:11,84,[702]
2023-04-29 23:07:11,85,[743]
2023-04-29 23:07:13,84,"[760, 771]"
2023-04-29 23:07:14,84,[770]
2023-04-29 23:07:14,83,[798]
2023-04-29 23:07:16,82,"[806, 787]"
2023-04-29 23:07:17,81,[787]
2023-04-29 23:07:17,81,[790]
2023-04-29 23:07:19,81,"[760, 718]"
2023-04-29 23:07:20,81,[728]
2023-04-29 23:07:20,82,"[727, 702]"
2023-04-29 23:07:22,82,[724]
2023-04-29 23:07:23,83,[722]
2023-04-29 23:07:23,83,"[705, 738]"
2023-04-29 23:07:25,83,[756]
2023-04-29 23:07:26,83,[756]
2023-04-29 23:07:26,83,"[751, 766]"
2023-04-29 23:07:28,83,[760]
2023-04-29 23:07:29,82,"[733, 756]"
2023-04-29 23:07:29,82,[741]
2023-04-29 23:07:31,83,"[689, 700]"
2023-04-29 23:07:32,83,[694]
2023-04-29 23:07:32,84,[677]
2023-04-29 23:07:34,85,"[682, 723]"
2023-04-29 23:07:35,86,[783]
2023-04-29 23:07:36,85,[817]
2023-04-29 23:07:37,84,[767]
2023-04-29 23:07:38,83,"[823, 824]"
2023-04-29 23:07:39,82,[805]
